frequency=10000
wave0	Time
1.431040	0.265416
1.431040	0.265419
1.436064	0.265421
1.431040	0.265424
1.436064	0.265426
1.436064	0.265429
1.441088	0.265432
1.431040	0.265434
1.431040	0.265437
1.436064	0.265439
1.431040	0.265442
1.431040	0.265445
1.426016	0.265447
1.431040	0.265450
1.431040	0.265452
1.431040	0.265455
1.431040	0.265458
1.436064	0.265460
1.431040	0.265463
1.431040	0.265465
1.436064	0.265468
1.431040	0.265471
1.436064	0.265473
1.431040	0.265476
1.436064	0.265478
1.426016	0.265481
1.436064	0.265484
1.431040	0.265486
1.436064	0.265489
1.436064	0.265491
1.436064	0.265494
1.431040	0.265496
1.436064	0.265499
1.431040	0.265502
1.431040	0.265504
1.431040	0.265507
1.436064	0.265509
1.431040	0.265512
1.431040	0.265514
1.436064	0.265517
1.431040	0.265519
1.431040	0.265522
1.436064	0.265525
1.436064	0.265527
1.431040	0.265530
1.436064	0.265532
1.436064	0.265535
1.431040	0.265537
1.436064	0.265540
1.431040	0.265542
1.431040	0.265545
1.431040	0.265547
1.436064	0.265550
1.436064	0.265553
1.431040	0.265555
1.436064	0.265558
1.436064	0.265560
1.436064	0.265563
1.431040	0.265565
1.436064	0.265568
1.431040	0.265571
1.431040	0.265573
1.436064	0.265576
1.431040	0.265578
1.431040	0.265581
1.436064	0.265583
1.436064	0.265586
1.436064	0.265589
1.436064	0.265591
1.436064	0.265594
1.426016	0.265596
1.436064	0.265599
1.431040	0.265601
1.431040	0.265604
1.431040	0.265607
1.436064	0.265609
1.436064	0.265612
1.431040	0.265614
1.426016	0.265617
1.431040	0.265619
1.431040	0.265622
1.436064	0.265625
1.436064	0.265627
1.436064	0.265630
1.431040	0.265632
1.436064	0.265635
1.436064	0.265637
1.431040	0.265640
1.436064	0.265643
1.431040	0.265645
1.436064	0.265648
1.431040	0.265650
1.436064	0.265653
1.426016	0.265655
1.436064	0.265658
1.420992	0.265660
1.431040	0.265663
1.436064	0.265666
1.420992	0.265668
1.436064	0.265671
1.436064	0.265673
1.436064	0.265676
1.436064	0.265679
1.436064	0.265681
1.431040	0.265684
1.420992	0.265686
1.431040	0.265689
1.431040	0.265691
1.436064	0.265694
1.436064	0.265696
